,host_response_rate,host_acceptance_rate,property_type,room_type,accomodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,extra_people,number_of_reviews,review_scores_rating,cancellation_policy,wireless_internet,smoke_detector,air_conditioning,heating,cable_tv,washer,dryer,family_kid_friendly,kitchen,free_parking,carbon_monoxide,pets_allowed,essentials,checkin_24hr,lock_on_bedroom_door,pool,hair_dryer,gym,wheelchair_accessible,iron,shampoo,hangers,first_aid_kit,elevator,comments
688,100,99,4,1,4,1.0,2,2,1,99,0,99,0,30,87,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,"Thanks for your hospitality Shawn. We enjoyed staying in the apartment which was conveniently located (shopping etc). We enjoyed walking in the park and playing basketball on the public courts. The recommended Pizza place within short walking distance from the apartment saw us as regular clients as there was convenient unrestricted parking in front and the shop owners made us a special treat every time.
Thank you for your responsiveness to our needs and especially the extra blankets. We liked the apartment which was clean friendly and had over rooftop views!"
689,86,100,1,1,3,1.0,1,1,1,149,0,50,0,17,95,2,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"Moshe made this trip a memorable event for me and my family. The place was beautiful, spacious, and pleasant. It really felt like home. From his place, the access to the train and subway was very easy. It facilitated our navigation in the city and made our night life experience in Boston more enjoyable. I would definitely return to Moshe''s place.
"
691,100,100,1,2,2,1.0,1,1,1,70,0,20,0,4,75,2,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"Jordan was a great host and gave us a flexible check in time, detailed instructions on how to get to his place and some great recommendations of where to eat around the area. The location is perfect for anyone coming out of the airport, about a 10 minute walk away. "
693,33,100,1,1,2,1.0,0,1,3,150,0,15,0,4,75,2,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"Great place, great host. Everything was clean and tidy. Plenty of stuff was left in the apartment that I was allowed to use such as cleaning products and food. Great great location, right in front of the Harvard Ave t stop and around plenty of restaurants and shops."
695,100,91,1,1,4,1.0,2,2,1,199,0,0,0,166,94,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Joe is the real deal! A terrific host and a true Charlestown native. He does a very fair job of describing his place.
698,60,50,1,3,2,1.0,1,1,1,80,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,The host canceled this reservation 13 days before arrival. This is an automated posting.
699,100,95,2,1,4,1.0,2,2,1,155,0,0,0,3,100,3,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,"Edwin is a great and very considerable host. His place is at a quiet and beautiful neighbourhood. The apartment is super clean, supplied with all essentials. I and my family all enjoyed our stay."
700,100,99,2,2,2,2.5,1,1,1,55,0,20,20,11,93,2,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"Susan and her sister were so welcoming and so kind.  I really enjoyed sitting on the back porch with Susan chatting while her sister tended and enormous vegetable/flower garden.  It was so calming, so beautiful.  This is a lovely home filled with warmth!"
702,99,100,1,2,2,1.0,1,1,1,69,0,5,20,143,82,2,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Anthony's place is really convenient; close to the subway and downtown Dorchester. Place was heated and he provided bottled water.
705,100,100,6,2,2,2.5,1,1,1,100,0,0,20,123,98,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"This was one of the highlights of our vacation.  What a beautiful, beautiful victorian home!  The bedroom we stayed in was like a haven and the bed was so very comfortable. Bruce and Barry were  delightful.  They visited with us and gave us input on our trip into Boston and answered any questions we had.  Abby LOVED the culinary input from Bruce :)  Breakfast was wonderful and all the little extra tastes from around the world added to our delight.  Wish we could have stayed longer."
706,89,45,1,1,4,1.0,2,2,1,356,0,0,0,20,91,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"everything as advertised, great customer service and responsiveness."
707,75,100,2,2,2,1.0,1,1,1,65,0,0,0,15,73,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Was okay
708,99,100,1,2,2,1.0,1,1,1,69,0,5,20,158,85,2,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,We were arrived too late from Rochester  coz of big winds and snow. Anthony wait us even late night.  So thanks for that. And he has great  family and  pretty daughter. I felt like family. It was very good night to stay.  Thanks
710,89,45,1,1,4,1.5,2,2,1,299,0,150,0,10,88,4,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,El departamento muy bueno y el servicio de Seamless Transition excelente
712,100,83,1,2,2,1.0,1,2,1,175,0,0,0,12,93,2,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"I highly recommend Brian''s rental.  He and his roommate, Dan, were very accommodating and the location was terrific for Fenway.  No complaints at all.  

Jim Macha"
714,98,68,1,1,4,0.0,1,1,1,163,500,100,0,65,86,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"We loved this modern, newly renovated apartment. It was perfectly clean and the kitchen was stocked well. The location is great and we were very happy here. It was a great way to stay IN Boston. Thanks Will!"
717,100,79,1,1,2,1.0,1,1,1,177,0,20,0,30,91,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"Very comfortable, spacious apartment.  Great location—

Alan made everything very easy to stay here."
719,100,100,1,1,2,1.0,1,1,1,125,0,45,0,281,88,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,"We enjoyed our stay immensely. The apartment was cozy, clean, and in the best neighborhood in the City. Jose was responsive and the directions to get the hey we''re easy to follow. We would love to come back!"
720,100,63,1,1,2,1.0,1,1,1,139,0,45,0,9,95,3,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,Jonathan was extremely helpful and communicative to us before our arrival. The apartment surpassed our expectations. We were proud to be able to call this place home for the weekend. We were incredibly fortunate to have stayed here because the neighborhood is in close proximity to everything that we wanted to visit. I highly recommend this listing!
721,93,46,1,3,1,2.0,1,1,5,60,0,0,0,4,100,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,It was nice meeting you. I had a great stay at your place. Thanks for your hospitality. 
722,99,81,1,1,6,1.0,2,3,1,250,0,65,35,10,92,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,Page is very responsive and helpful. The instructions were very clear. She also found me a convenient parking spot for a reasonable price.
723,100,100,1,1,2,1.0,2,1,1,250,200,0,0,2,100,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,Kevin was really accommodating and his flat was clean and spacious in a really lovely area. Walking distance to everything that we needed and only a 15minute drive from the airport. Would definitely recommend!
724,100,30,1,1,4,1.0,1,1,1,399,0,0,0,13,92,3,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,Amanda was very attentive to our preliminary needs. She kept in communication leading up to the day and was helpful with places to leave our car. The brownstone was as described in the HEART of Boston.  The accommodations were clean and comfortable. I would definitely stay there again.  She is a great host in a great neighborhood!  five stars!!
728,100,71,1,1,1,2.0,1,1,1,110,0,0,0,2,0,2,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,The host canceled this reservation 8 days before arrival. This is an automated posting.
731,100,90,2,2,2,1.0,1,1,1,145,0,40,0,36,91,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I felt very welcomed at Terry''s Hotel Alternative, I felt like I was staying at a friends house. Terry provides plenty of local information, he''s very chilled and laid back and is very helpful. The location is great, less than 5 minute walk to the Roxbury Crossing underground, although you can walk into town in about 20mins. I have no hesitation in recommending Hotel Alternative and would happily stay again if I''m back in Boston."
732,100,89,4,2,2,1.0,1,1,1,89,0,10,10,4,95,3,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,"We had no problems getting in the apartment, which is very nice. 
The room and the bathroom were beautiful and very clean. The trainstation is nearby. We would come again!"
734,100,100,5,1,2,1.0,0,1,1,160,0,30,0,14,97,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"My husband and I loved Paris'' Back Bay loft.  The location was ideal for us - we moved from Boston last year and were back visiting, so staying in the loft really made us feel at home.  This was our first airbnb experience and Paris was great to work with.  We really appreciated her communication before we arrived - it made everything so easy.  We would highly recommend the loft to those visiting Boston - it puts you right in the middle of a great neighborhood within easy distance to all the wonderful things the city has to offer!"
735,100,100,1,2,2,1.0,1,1,1,110,0,0,0,1,0,2,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,The host canceled this reservation 4 days before arrival. This is an automated posting.
736,100,96,2,2,2,2.5,1,1,1,65,0,10,20,62,91,2,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"Jessica was very accomodating during our stay. We didn''t see her as much cause we ride the city and she works a lot. Everything was as described, i recommand! Boston is an amazing city to explore."
737,70,100,1,2,2,1.0,1,1,1,53,0,0,0,5,80,2,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,Excellent place! 
739,100,57,2,2,4,1.5,1,1,1,80,0,0,0,19,97,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tom''s house is located in a quiet and lovely neighborhood . The room is cozy and clean, exactly as depicted in the profile. Besides you have access to T, which will take u to the   Subway and downtown. Tom is very hospitable and nice. It was a pleasure choose his house during my short stay in Boston."
740,100,86,1,1,2,1.0,1,1,1,155,0,0,7,18,83,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"A great little spot for checking out Boston. Close to Fenway and a short cab ride to TD Center (which is why I was in town). The one bedroom has all the amenities for a short term or long term stay. Sean was very communicative and explicit with instructions so check in was easy. I did notice the lack of a TV, which wasn''t a big deal considering I spent little time inside!"
745,100,94,1,2,2,1.0,1,1,1,83,0,15,10,51,93,2,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"Joe and Patty''s place was great - good location and friendly hosts. Very clean, quiet house with a cosy room. Future guests should specify East Boston if travelling from airport by cab as we experienced some problems. "
746,96,68,1,1,3,1.0,1,1,1,219,0,100,0,1,80,3,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,"Great experience for first time airbnb user.  Although I never personally saw host, contact information was always made available if needed.  Everything was as described.  Enjoyed all the modern amenities and cool location.  So close to Fenway, we had to see a game.  Met a Red Sox player after the game going up in the elevator.  Kinda cool.  Lots of services across the street.  I would stay at this location again or at any of the hosts other properties when traveling."
748,100,96,2,2,2,2.5,1,1,2,75,0,10,20,32,91,2,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"The first contact was very sympathetic with detailed instructions where and how to get the key to get in. Nevertheless we weren''t able to get in the house, because another guest had taken the key. Although having stayed for two nights we never saw our host and she didn''t respond to emails anymore. There were another three guests in the house.
Communications and organization in case of absence have to be worked on. :-)
The room was as described and sufficiently tidy as well as the bathroom.
The place is perfect to start off into Downtown Boston, although the description of the house seems somewhat exaggerated."
750,100,57,1,1,4,1.0,1,1,1,189,0,49,0,22,99,3,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,The apartment was so beautiful and in a perfect location. The outside seating area was great to relax and work in as well. Lots of good places to eat- we recommend The Beehive and House of Siam! Matthew provided us with all the info we needed and was very friendly! Thanks for a great stay!
752,100,100,2,2,1,1.0,1,1,1,78,500,25,0,21,95,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Rosa was most hospitable. She went out of her way to be helpful, taking me on a little tour of Roslindale and driving me to the station with my luggage when I left. The room is just as it appears on the website."
754,100,50,1,1,4,2.0,2,2,1,300,0,0,0,1,0,2,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,The host canceled this reservation 41 days before arrival. This is an automated posting.
755,100,100,2,2,2,1.0,1,1,2,200,0,0,0,8,95,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Very nice apartment.
Parking was easy and train station was near. Had a wonderful time in Boston"
756,81,67,1,1,3,1.0,1,2,1,135,0,85,0,15,75,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"This is a review for 16 Battery Street, Weston''s Apartment.
Pros:
Renting from Boston Furnished Rentals was really easy and seamless!  The communication with Jan was great: she was very responsive, with lots of details and information, and very fair. Very patient as I worked through my travel schedule after another host canceled, which I really appreciated. Key pickup and dropoff was simple. The keys were ready for me when I got to the pickup spot (a local realtor) and the apartment was ready when I got my keys, no issues whatsoever.
The neighborhood is wonderful: safe, vibrant, and full of great restaurants and lots of history. Everyone is super-friendly, too. Very close walk to the Haymarket station (about ten minutes) to get on the T and explore, and fabulous culture right outside your door. GREAT location.
All linens (sheets, towels, etc) were fresh and clean, and the apartment itself had been wiped clean. Some simple toiletries (shampoo, hotel soap bars) were available. Kitchen is well stocked in terms of plates, cups, cutlery etc. with soap and sponge at the sink, has a small selection of pots and pans, coffee maker; basic essentials. Some pantry items like teas and vinegars, some spices, also in the cabinet. Fridge was clean and empty and ice trays were full on arrival. 
Cons:
The building and the apartment itself could both really use some TLC - everything could use a deep-clean and a fresh coat of paint. The bathroom is in need of renovation, plus really tiny: a very narrow stall shower and a low sink (no pictures in the listing) but was clean on arrival. The apartment door opens right into the bedroom, and this is not exactly a proper one bedroom as the listing states, but feels much more like a large studio with the open floor plan. The apartment is at ground level, and during most summer weekends in the North End, there is a carnival right outside the window that runs all day through until midnight. If you''re looking for peace and quiet, buyer beware: Be sure you understand the summer feast schedule so you know what the noise implications are. Once the event wraps up, this neighborhood is truly tranquil, but during the festival it is bustling. If you''re looking to open the windows to smell the delicious carnival foods and people-watch from home, you''re in for a real treat! Plus, you don''t have to go further than your door to get to the fun, and these events are really a blast.
Overall, the process was so simple as were my needs for this trip. I enjoyed my stay, and though I feel it''s worth noting that the place could use a bit of refurbishing, it didn''t impact my personal comfort level. If I had the same needs in the future, I would rent again. "
757,100,90,4,1,4,1.0,2,2,1,275,0,30,0,29,94,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"The correspondence with John before our stay was excellent. We found the apartment to be very clean, tidy and comfortable to stay in. Even with four of us in the apartment we found it to be very spacious. The location is fantastic. If I come to Boston again I will definitely stay in John''s apartment."
760,100,89,1,3,3,1.0,1,2,4,45,0,10,20,19,93,3,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"We met him late at night but we didn''t have problem checking in and find the house! Evan is really kind, we just spend few words before sleeping but was really welcoming!
A really nice host, I definitely would go again!"
761,94,99,2,2,2,2.0,1,1,1,60,0,10,10,50,90,3,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,My boyfriend and I traveled to Boston after a short stay in NYC. We enjoyed every minute of our stay. Everyone in the house was kind and welcoming. The house is a short walk (about 4 blocks) from the Fields Corner train station. It had all of the amenities that we could ask for and Steve greeted us and welcomed us with open arms. If I'm ever in the Boston area - I will stay here again. 
762,100,90,6,2,2,1.0,1,1,1,75,0,20,20,63,97,2,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"We were very well received and hosted by Scott and Kit; they were very accommodating in receiving us on our arrival late in the evening. We loved the comfortable, private loft and enjoyed the warm, welcoming  breakfast. Lots of nice discussions too! We will return for sure!"
763,99,93,1,2,2,1.0,1,1,1,91,0,25,20,46,96,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"Great stay. Todd was a friendly host, quick and easy to communicate with. The room was very very clean and quite. "
764,100,100,2,2,1,1.0,1,1,1,90,0,30,10,9,90,3,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jullian was great.  The house was very clean and very quiet and Jullian was really nice.  I would definitely stay here again.
767,0,0,1,2,2,1.0,1,1,1,100,0,10,0,3,90,2,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"We had a great stay ! Good location, clean place. The bedroom is really big, with a private bathroom. Close to the train. "
769,70,33,1,3,1,1.0,1,1,1,27,0,0,0,1,0,3,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The host canceled this reservation 68 days before arrival. This is an automated posting.
770,100,100,1,1,5,1.0,3,3,1,150,0,30,25,59,84,3,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"Jordan was a great host. We never actually got to meet him given our tight schedule but the home serves the purpose of a rest stop not really a place to spend all of your time despite how welcoming the kitchen is. I cannot stress how ideal the location is..LOCATION LOCATION LOCATION!!! My friend and I only came in to sleep because we wanted to spend most of our time exploring so the air mattresses were sufficient. Before we arrived, Jordan gave us directions from the airport along with a list of places to check out and they were a great help. "
771,85,78,1,2,2,1.0,1,1,1,70,0,0,0,12,95,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"We had a great stay at Shawna''s place. She and her boyfriend were very nice, helpful, and respectful. We also loved their two cats. All perfect!"
772,100,100,2,1,8,2.5,4,6,1,550,0,200,100,6,85,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"Nice neighborhood, good area with a bunch of eating options nearby. Clean place, plenty of room. Upstairs sleeping situation was a bit cramped, but the rest was fine."
773,100,100,1,1,4,1.0,2,2,1,275,0,0,0,1,100,2,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,Emily and Harley's place is absolutely amazing! The pictures don't do it justice. It looks like a beautiful film set. We slept really well. The neighbourhood is great - walking distance to some great bars and restaurants. And the roof terrace was spectacular.
774,50,50,1,1,3,1.0,1,1,1,175,500,25,15,9,98,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Russell was out on travel but he had a friend meet us for check-in.  They were both very understanding about our flight being delayed multiple times.  Russell stayed in touch via text and telephone as we arrived and made sure we had no questions.  He made sure we knew of several options to grab a bite to eat despite the late hour.

The listing description and pictures are accurate. The main room had plenty of room and a bed and two futon couches to choose from for sleeping.

The neighborhood is great - just blocks from the Berklee College of Music yet on a quiet street.  A Whole Foods, convenience store and Cappy''s Pizza on the same street, as well as a CVS around the corner, were easily accessible.  Excellent location overall for exploring the city and/or visiting colleges."
775,79,100,1,2,1,1.0,1,1,1,49,100,45,0,5,64,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Overall an ok place for a short stay. Host is very responsive, room is clean, full kitchen, quick access to T station. Would be nicer if provide towel/washer/dryer."
777,100,80,1,1,3,1.0,0,2,1,109,0,25,15,16,100,3,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"We had a FABULOUS stay at Sarah''s place! She is truly a 5-star host... she thought of every little detail... from the breakfast items she left out for us in the morning, to the chocolates on top of our towels, it was truly better than staying at a hotel! Sarah was incredibly responsive leading up to the stay, met us at her apartment upon our arrival, and made sure we were completely comfortable with everything before leaving. 

The pictures don''t even do this place justice-- it has such character! The apartment is packed with fascinating vintage trinkets that are a joy to look at. Plus, the bed is VERY comfortable. If you have a chance to stay here, definitely do!!"
782,50,100,1,1,4,1.0,1,1,1,140,0,125,0,1,0,3,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The host canceled this reservation 8 days before arrival. This is an automated posting.
785,100,100,1,1,4,1.0,2,2,1,125,0,100,0,22,96,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,Host was great!  Apartment was amazing!  Nice friendly neighborhood!
789,100,0,1,2,2,1.0,1,1,2,44,0,20,20,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,The host canceled this reservation 51 days before arrival. This is an automated posting.
790,60,43,1,1,2,1.0,1,1,1,150,0,70,0,34,91,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"This is a cozy (and artsy) spot in Beautiful Beacon Hill. A perfect location to stay at and enjoy everything Boston has to offer. 
Allegra was a fantastic host! "
791,80,50,1,2,2,1.0,1,1,1,75,0,0,0,57,93,2,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,"Staying with Anna was fantastic. Her apartment is very conveniently located in South End, and even though she was gone most of the day she made sure to introduce herself and made sure I knew all the quirks of her beautiful old building. Definitely an overall easy and comfortable stay. "
792,100,19,8,1,5,1.5,2,4,1,190,0,166,37,7,94,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,Great location. Right near little Italy and the aquarium. Great accommodation. Host was easy to contact and the boat was easy to find. Highly recommended.
793,100,100,1,1,2,1.0,1,1,1,125,0,45,0,171,92,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,Great place in the historic North End of Boston.  Clean and convenient.  
796,100,100,1,1,4,1.0,2,2,1,300,0,100,0,1,100,3,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,My family and I had a great 2-day stay at Andrea's place. Their apt was very clean and lovely in a safe and quiet neighborhood. Close to everywhere we planed to visit. The host was communicative and had everything we needed ready for us. Checkin and checkout was super easy and fast. We enjoyed our stay and would highly recommend!!
797,90,88,2,2,1,1.0,1,1,1,55,0,20,25,9,78,2,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,"Jacob  was a very responsive, kind and helpful host. He could not be there when I arrived, but he was very accessable and supportive nonetheless. We met on the day of my departure. Thanks for the inspiring conversation!
The place is great value. The trees give enough shadow, so the room does not get hot despite all the windows. It''s a 10 to 15 min walk to the orange line, but bus line 39 is just around the corner and also gets you to Back Bay in a reasonable time.
Being close to the Arboretum and Jamaica Pond is another bonus. 
Overall: recommended!"
798,100,93,2,2,3,1.0,1,2,1,95,0,35,0,15,93,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Minor'' s place is great! Clean, cute and close to metro station. Minor and his two sons are all very helpful. I would definitely recommend this place to everyone!      

My parents and I stayed here for three nights and it was actually their first time to experience Airbnb. They love it!   Thanks to Minor, Alex and Liam! "
801,100,89,2,2,2,1.0,1,1,1,67,0,40,5,20,96,2,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,"Rebecca was a lovely host.  Her calm disposition made for a very relaxing environment at the home.  She was extremely knowledgeable about Boston and the surrounding areas and how to navigate whether by foot, public transportation or car.  Our room was quite comfortable and just as described...even lending itself to a little more space than expected.  The neighborhood was quiet and the easy parking was a bonus with having had a car.  We truly enjoyed our stay at Rebecca''s."
806,100,95,9,2,2,1.0,1,1,1,80,0,25,0,1,100,3,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Xianxin was a great host. The place was clean and spacious. The bed was very comfortable. Short walk to the T. I would stay here again. 
807,90,94,1,2,4,2.0,1,2,1,79,0,30,59,28,90,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,"We had a very pleasant experience in this cozy room. Being so close to the T made it easy to travel and explore Boston. Victor was very friendly and helpful, though we rarely ran into him or any of the room mates.  Our only complaint was the lack of air conditioning, making the bedroom more like a sauna. Victor did provide fans to help us through that though. "
808,100,50,4,1,2,1.0,1,1,1,160,0,30,0,2,90,2,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,"These hosts are awesome! Extremely friendly and accommodating with our plans. Thanks again

Clean and welcoming space, perfect for two people. Great apartment in a great location. We had a wonderful stay. 

"
809,100,100,1,2,1,1.0,1,1,1,77,0,0,0,21,94,2,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The stay in Olga''s room was awesome.
Very comfortable bed.
Olga was not there, but her Mom. She is a sweetheart. 
Its only a 3 minute walk from the metro station to the appartment and a 10 minute ride to downtown Boston.

Airport is also only 20 minutes away by metro and $ 12 dollar ride with taxi.

Best choice for Boston!"
810,36,71,2,2,1,1.5,1,1,1,50,0,0,0,5,88,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,It's a great quiet stay.
813,92,69,1,2,2,1.0,1,1,1,80,0,0,10,4,80,2,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,"Carissa''s place was great! This was my first Airbnb experience and I would definitely do it again. Her place was affordable, close to public transportation, and some morning coffee. Carissa was away when my friend and I stayed at her place and was still able to answer all my questions timely and fully. She was a great host even from afar! In addition, her apartment was cozy, comfortable, and unique. The two cats living in her place were absolutely adorable and loved attention (which was awesome for a cat lover like me). I highly recommend Carissa''s Airbnb, you won''t regret it! "
816,98,55,1,1,3,1.0,1,1,1,169,0,100,0,1,80,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,"The Fenway Neighborhood was the best part of our stay by far!  It is wonderful and we really enjoyed our 5 weeks in the neighborhood.   Our biggest disappointment was that the apartment we were promised was changed two days prior to our arrival and the photos of the new apartment sent to us misrepresented the apartment.  The photos showed a bright,  unobstructed view out of the windows and when we arrived there was a high rise fully under construction (at least several months) already several floors above ours (6th) which totally obstructed our view as well as subjecting us to construction noise throughout our stay.  The Host should have disclosed this in their listing.  Although the building is relatively new, it is showing its wear, especially in the hallways and in the apartment.

The apartment had several issues including a dirty living room carpet, faulty refrigerator and generally average quality amenities.  The host should be cautious about advertising the listing as Luxury.  The Host and building maintenance was pretty responsive in replacing the carpet and after two tries at fixing the refrigerator, they finally replaced it.

I would suggest that if the host represents the apartment as Luxury, all the amenities should be fully functional and of the highest quality.  

There are other buildings in the area which are newer and might provide a more Luxury feel.  But I highly recommend staying in Fenway if you want a lively feel with everything within a few steps of your front door."
817,100,100,6,2,4,1.0,1,1,1,65,0,10,30,156,86,3,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,Sarah and her son were wonderful hosts! They made sure I had everything I needed and was comfortable in their home. The room itself was very clean.
819,100,100,1,1,2,1.0,1,1,1,133,0,20,0,9,91,3,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,"Great location, very cozy for a couple!"
820,0,0,1,2,1,1.0,1,1,1,60,0,0,0,1,0,2,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,The host canceled this reservation 8 days before arrival. This is an automated posting.
